SMILES,Ki [nM]
CS(=O)(=O)c1cccc(/C=C/C(=O)N[C@H]2CC[C@H](CCN3CCc4cc(C#N)ccc4C3)CC2)c1,316.23
COc1cccc(NC(=O)CCN2CCN(c3ccc(Cl)cc3)CC2)c1,282.0
O=C(N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3)CC2)CC1)C1CCCCC1,37.5
Oc1ccc2CC[C@@H](CNCc3ccccc3)Oc2c1,228.0
O=C1N(CCN2CCCc3c(ccs3)C2)CCN1c1cccc(Cl)c1,3.162
O=C(N[C@H]1CC[C@H](CCN2CCN(c3ccc(Cl)cc3)CC2)CC1)C1CCCCC1,81.0
c1ccc(CN2CC[C@@H](CNCc3csc(-c4ccccc4)n3)C2)cc1,6712.223253445147
CCCCN(CCC)[C@@H]1CCc2c(F)cccc2C1,97.85703858180054
CCCCc1ccc(S(=O)(=O)Nc2ccc3CCNCc3c2)cc1,891.2519284691618
CCN1C(=O)C(N2CCN(Cc3ccc(Cl)cc3)CC2)Cc2ccccc21,21.0
Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3cccc4ccccc34)[nH]c2c1,1400.0
CCCN(CCC)[C@@H]1Cc2cccc3c2N(C1)C(=O)NC3,58.0
CCN(CC)CCCOc1ccc(-c2nc3ccccc3n2C/C=C/Cn2c(-c3ccc(OCCCN(CC)CC)cc3)nc3ccccc32)cc1,2345.0
Cc1ccc(N2CCN(C[C@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,935.0
COc1ccccc1N1CCN(CCCCNC(=O)c2c(Cl)c3ccccc3s2)CC1,71.9
COc1ccc(Cl)cc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,220.0
CCN1CCCC1c1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1,25.12
COc1ccc2CCC(N)Cc2c1,5825.0
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-c3ccc(S(C)(=O)=O)cc3)cc2)CC1,25.12
COc1cc2ccccc2cc1C(=O)OCC1CCN(Cc2ccccc2)C1,10000.0
C(=C/Cn1c(-c2ccc(OCCCN3CCN(c4ccccc4)CC3)cc2)nc2ccccc21)\Cn1c(-c2ccc(OCCCN3CCN(c4ccccc4)CC3)cc2)nc2ccccc21,3945.0
COc1c(C(=O)N[C@@H]2CCN(Cc3ccccc3)C2)cc(C#Cc2ccccc2)c2ccccc12,5738.169133409252
O=C1c2ccccc2CCC12CCN(Cc1ccc([N+](=O)[O-])cc1)CC2,1969.0
CN(C)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,3780.0
O=S1(=O)c2ccccc2CCC12CCN(CCc1ccc(F)cc1F)CC2,1500.0
CC(=O)NCc1ccc2Sc3ccccc3C[C@@H](N3CCN(C)CC3)c2c1,27.0
O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1c2ccccc2CC12CCCCC2,3325.0
Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6c(oc(C(F)(F)F)n6)c(Br)c5CC4)n3C)cccc2n1,1000.0
CCc1nc2cc3c(CCN(CCCCSc4nnc(-c5cccc6nc(C)ccc56)n4C)CC3)c(Br)c2o1,398.11
Cc1nc(=O)n(CCCCN2CCN(c3cc(C(F)(F)F)nc(C(C)(C)C)n3)CC2)cc1,307.0
CC(C)(C)c1nc(N2CCN(CCCCn3ccc(=O)[nH]c3=O)CC2)cc(C(F)(F)F)n1,196.0
CCCN(CCCCNC(=O)c1ccc(-c2ccccn2)cc1)CC1CC1c1cccc(Cl)c1Cl,2362.0
O=C1Nc2ccc(F)cc2C1CCCCN1CCN(c2ccccc2)CC1,330.0
COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3oc2=O)CC1,57.94825277780168
CCNC(=O)Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCS3,26.0
O=C1N(CCN2Cc3ccccc3C2)CCN1c1ccc(Cl)c(Cl)c1,251.19
O=C1N(CCN2Cc3ccccc3C2)CCN1c1cc(F)cc(Cl)c1,31.62
CC(C)(C)c1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cc1,630.96
CC1CCCCN1CCN1CCN(c2cccc(Cl)c2)C1=O,25.12
CC(C)N1CCN(CCN2CCN(c3cccc(Cl)c3)C2=O)CC1,199.53
C[C@@H]1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccccc2Cl)CC1,1149.0
c1ccc(CN2CCC(NCc3csc(-c4ccccc4)n3)CC2)cc1,17621.010186706095
Clc1cccc(N2CCN(CCCCn3cc(-c4ccc5c(c4)Cc4ccccc4-5)nn3)CC2)c1Cl,885.0
COc1ccc(Br)cc1-c1nc(CNCC2CCN(Cc3ccccc3)C2)co1,327.26136343907143
N#Cc1ccc2CN(CC[C@H]3CC[C@H](NC(=O)/C=C/c4ccccc4)CC3)CCc2c1,199.53
c1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)nc1,12.0
COc1ccccc1N1CCN(CCCCNC(=O)/N=N/c2cc(F)c(F)c(F)c2)CC1,7.918333157931661
c1ccc(N2CCN(C3CCC(Nc4ncccn4)CC3)CC2)cc1,226.27416997969522
CN1CCCc2c(Cc3ccccc3CC1)[nH]c1ccccc21,85.45006397475795
c1ccc(CN2CCN(Cc3csc(-c4ccccc4)n3)CC2)cc1,23366.642891095846
O=C(NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)c1cccs1,18.0
O=Cc1cn(C2CCN(Cc3ccccc3)CC2)cc1,56435.80423808985
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@@H]1CCc2c(F)cccc2C1,9.1370673632189
COc1ccccc1N1CCN(CCCN2CCCc3ccccc3C2=O)CC1,794.33
CCc1ccc2C[C@@H]3c4c(cccc4-c2c1O)CCN3C,2050.0
O=C(N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1CCOC1,165.4
CC(C)(O)c1ccc(CSc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,140.0
O=C(N[C@H]1CC[C@H](CCN2CCC(c3coc4ccccc34)CC2)CC1)C(O)C(F)(F)F,46.39
FC(F)(F)c1nc2c(OCCNCc3ccccc3)cccc2[nH]1,1.75
Cn1c(SCCCN2CC3CCN(c4ccc(F)cc4)C3C2)nnc1C1CCOCC1,341.45659603971603
O=C(CCCCCN1CCN(c2ccccc2O)CC1)NC1CCCc2ccccc21,987.0
